,PROCEDIMENTO,Unnamed: 1,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
0,,(alteração),,,,,,,,,,,
1,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,
2,ACONSELHAMENTO GENÉTICO,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,
3,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,
4,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,
5,ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,HCO,HSO,REF,109,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,
6,"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",HCO,,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
7,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,,
8,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,,
9,ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,HCO,HSO,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
10,ATENDIMENTO PEDIÁTRICO A GESTANTES (3o TRIMESTRE),AMB,HCO,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
11,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,,
12,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,,
13,ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,AMB,,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
14,ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,OD,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
15,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,
16,ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
17,,OD,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
18,NECESSIDADES ESPECIAIS,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,
19,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
20,CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),OD,,,86,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
21,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,
22,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
23,ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,OD,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
24,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,
25,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
26,CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,AMB,REF,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
27,CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,,AMB,HCO,REF,135,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,
28,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,
29,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,
30,CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA,541/2022,01/08/2022,AMB,,REF,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,
31,CONSULTA MÉDICA,,AMB,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
32,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,,
33,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,,
34,CONSULTA ODONTOLÓGICA,OD,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
35,CONSULTA ODONTOLÓGICA INICIAL,OD,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,
36,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,,,,
37,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,,,,
38,CONSULTA ODONTOLÓGICA DE URGÊNCIA,OD,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,
39,,RN,,,,,,,,,,,
40,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
41,,(alteração),,,,,,,,,,,
42,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
43,SESSÃO COM PSICÓLOGO,541/2022,01/08/2022,AMB,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
44,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,
45,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
46,CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,AMB,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
47,SESSÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,AMB,REF,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,
48,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,
49,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,
50,CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,,AMB,REF,103,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,
